engagement_student_id,date_registered,first_date_watched,first_date_purchased,date_diff_reg_watch,date_diff_watch_purchase,conversion_rate
255193,2021-12-01,2021-12-01,NULL,0,0,0.00
255194,2021-12-01,2021-12-01,NULL,0,0,0.00
255198,2021-12-01,2022-02-17,NULL,78,0,0.00
255199,2021-12-01,2021-12-01,NULL,0,0,0.00
255200,2021-12-01,2021-12-01,NULL,0,0,0.00
255202,2021-12-01,2021-12-01,NULL,0,0,0.00
255203,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255204,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255205,2021-12-01,2021-12-01,NULL,0,0,0.00
255206,2021-12-01,2021-12-01,2021-12-02,0,1,1.00
255207,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255209,2021-12-01,2021-12-01,NULL,0,0,0.00
255211,2021-12-01,2021-12-02,NULL,1,0,0.00
255215,2021-12-01,2021-12-30,NULL,29,0,0.00
255218,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255222,2021-12-01,2021-12-01,NULL,0,0,0.00
255227,2021-12-01,2022-02-01,NULL,62,0,0.00
255235,2021-12-01,2021-12-01,NULL,0,0,0.00
255238,2021-12-01,2021-12-01,NULL,0,0,0.00
255239,2021-12-01,2021-12-01,NULL,0,0,0.00
255241,2021-12-01,2022-01-26,2022-03-21,56,54,1.00
255243,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255245,2021-12-01,2021-12-01,NULL,0,0,0.00
255246,2021-12-01,2021-12-01,NULL,0,0,0.00
255253,2021-12-01,2021-12-01,NULL,0,0,0.00
255254,2021-12-01,2021-12-03,NULL,2,0,0.00
255260,2021-12-01,2021-12-01,NULL,0,0,0.00
255261,2021-12-01,2021-12-07,NULL,6,0,0.00
255262,2021-12-01,2021-12-24,2021-12-24,23,0,1.00
255268,2021-12-01,2021-12-01,2021-12-28,0,27,1.00
255269,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255271,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255272,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255279,2021-12-01,2021-12-01,2021-12-01,0,0,1.00
255280,2021-12-01,2021-12-04,2021-12-04,3,0,1.00
255283,2021-12-01,2021-12-05,NULL,4,0,0.00
255285,2021-12-01,2021-12-07,NULL,6,0,0.00
255286,2021-12-01,2021-12-02,NULL,1,0,0.00
255287,2021-12-01,2021-12-01,NULL,0,0,0.00
255294,2021-12-01,2021-12-01,NULL,0,0,0.00
255297,2021-12-01,2021-12-01,NULL,0,0,0.00
255301,2021-12-01,2022-08-27,NULL,269,0,0.00
255302,2021-12-01,2021-12-01,NULL,0,0,0.00
