user_id,max_streak_count,max_streak_length
1200,31,30
16668,31,30
39164,31,30
59568,31,30
149601,31,30
173105,31,30
210670,31,30
219488,31,30
223510,31,30
230273,31,30
235095,31,30
242698,31,30
272510,31,30
278459,31,30
280853,31,30
284482,31,30
291015,31,30
291769,31,30
293951,31,30
295114,31,30
297580,31,30
303504,31,30
314918,31,30
324946,31,30
335656,31,30
348546,31,30
382055,31,30
407874,31,30
408677,31,30
423874,31,30
425458,31,30
425522,31,30
435385,31,30
438873,31,30
442476,31,30
453915,31,30
151404,30,16
157784,30,17
178842,30,23
251329,30,23
268689,30,15
296613,30,29
357142,30,15
377862,30,29
255282,29,16
285352,29,28
337556,29,28
282739,28,27
316093,28,27
333749,28,27
454532,28,13
216478,27,26
289270,27,15
408002,27,26
228202,26,25
421330,26,25
433475,26,25
292611,25,22
330074,25,24
365107,25,24
380721,25,18
173561,24,23
272186,24,23
348946,24,6
351183,24,23
374333,24,19
400441,24,23
410772,24,13
18378,23,6
162406,23,18
185851,23,22
244135,23,22
260980,23,22
341941,23,22
343001,23,22
226612,22,21
261758,22,21
263546,22,21
453798,22,21
211129,21,20
258321,21,20
308287,21,20
328067,21,20
348448,21,20
424313,21,20
160274,20,14
293843,20,19
294343,20,19
300045,20,19
396948,20,14
411894,20,19
448142,20,19
449271,20,19
454069,20,19
454622,20,19
228262,19,6
289814,19,18
292496,19,18
414419,19,18
455085,19,18
5790,18,15
157144,18,17
264146,18,17
265685,18,17
291975,18,17
299962,18,17
315520,18,17
353507,18,17
407176,18,17
453988,18,17
307003,17,16
391777,17,16
407948,17,16
105156,16,15
271761,16,15
274861,16,15
291789,16,15
337144,16,15
343604,16,15
389942,16,10
2332,15,14
310446,15,14
320597,15,14
435646,15,14
42236,14,7
161693,14,13
254372,14,13
313884,14,13
350429,14,13
391161,14,8
419659,14,9
420093,14,13
3938,13,12
147579,13,6
149472,13,12
161338,13,12
176396,13,12
188716,13,12
255296,13,12
262580,13,12
279562,13,12
280148,13,12
280613,13,12
296103,13,6
317252,13,12
341865,13,12
342007,13,12
364616,13,12
389726,13,12
453252,13,12
147038,12,11
175519,12,11
202070,12,11
275045,12,11
286826,12,11
293592,12,11
295567,12,11
296995,12,11
297106,12,11
355575,12,11
378517,12,11
393840,12,11
438715,12,10
453682,12,5
454777,12,11
4016,11,9
180288,11,10
253829,11,10
254713,11,10
263579,11,10
278753,11,10
278851,11,10
282604,11,10
292596,11,7
293083,11,10
330297,11,10
344832,11,10
345771,11,10
382668,11,10
384432,11,10
401744,11,10
411668,11,10
439498,11,10
444259,11,10
447775,11,10
449130,11,10
452909,11,10
456091,11,10
457598,11,10
35260,10,6
181776,10,9
182512,10,9
212463,10,9
293936,10,9
311170,10,9
312359,10,9
313912,10,9
326241,10,9
394037,10,9
414667,10,9
427200,10,9
453334,10,9
454023,10,9
454557,10,9
7620,9,8
151694,9,8
165374,9,8
190803,9,8
194135,9,8
224264,9,8
242014,9,8
244886,9,8
248535,9,8
252678,9,8
268926,9,8
271257,9,8
275189,9,8
283029,9,6
289005,9,5
291487,9,8
292350,9,8
297248,9,8
297475,9,8
333166,9,4
336509,9,5
340331,9,8
349988,9,8
418364,9,8
453762,9,8
454697,9,8
457140,9,8
145754,8,7
146603,8,7
156038,8,7
179203,8,7
194043,8,7
260345,8,7
263293,8,7
263438,8,7
271154,8,7
272063,8,7
274630,8,7
280345,8,7
283636,8,7
285283,8,7
295756,8,7
295823,8,7
315296,8,7
316270,8,7
318419,8,7
335556,8,7
339247,8,7
342567,8,7
345468,8,7
347344,8,7
347634,8,7
396741,8,7
398107,8,6
416364,8,7
417027,8,7
426151,8,7
432812,8,7
453932,8,7
454467,8,7
454504,8,7
1901,7,6
6819,7,6
7106,7,6
9845,7,6
14825,7,6
30273,7,6
89305,7,6
137618,7,6
159370,7,6
230894,7,6
233324,7,6
234162,7,6
234437,7,6
242515,7,6
244031,7,6
248647,7,6
261171,7,6
261895,7,6
262459,7,6
265588,7,6
274532,7,6
275093,7,6
275165,7,6
279217,7,6
282591,7,6
282977,7,6
288208,7,6
290746,7,6
291551,7,6
292033,7,6
292491,7,6
293303,7,6
296402,7,6
296892,7,6
297035,7,6
298058,7,6
305504,7,4
314217,7,6
316337,7,6
334688,7,6
337022,7,6
343832,7,6
397038,7,6
399678,7,6
410450,7,6
430754,7,6
431410,7,6
433431,7,6
452457,7,6
454788,7,6
454913,7,6
455138,7,6
456070,7,6
458634,7,6
458964,7,6
459804,7,6
460179,7,6
457784,6,5
458031,6,5
458045,6,5
458882,6,5
459012,6,5
460279,6,5
12623,6,5
53434,6,5
159186,6,5
183867,6,5
183901,6,5
198179,6,5
230052,6,5
254310,6,5
255220,6,5
258843,6,5
261552,6,5
261693,6,5
271950,6,5
272596,6,5
274572,6,5
275132,6,5
275583,6,5
282507,6,5
283824,6,5
284438,6,5
286073,6,5
286802,6,5
288210,6,5
288584,6,5
290303,6,5
290353,6,5
290737,6,5
291264,6,5
293682,6,5
293976,6,5
294590,6,5
294948,6,5
296461,6,5
296473,6,5
297375,6,5
297781,6,5
310728,6,5
330146,6,5
336447,6,5
343468,6,5
357325,6,5
358274,6,5
360436,6,5
365019,6,5
365753,6,5
378891,6,5
388890,6,5
392716,6,5
393366,6,5
394085,6,5
394183,6,5
396484,6,5
401111,6,5
401369,6,5
414067,6,5
422016,6,5
422172,6,5
423998,6,5
431429,6,5
433705,6,5
434592,6,5
439052,6,5
439999,6,5
443104,6,5
450876,6,5
451029,6,5
452448,6,5
453595,6,5
453608,6,5
453715,6,5
453790,6,5
453912,6,5
454106,6,5
454276,6,5
454403,6,5
454904,6,5
454984,6,5
455034,6,5
455247,6,5
455636,6,5
1374,5,4
2248,5,4
3984,5,4
4231,5,4
4435,5,4
6976,5,4
9305,5,4
9446,5,4
12930,5,4
155342,5,4
165955,5,4
166070,5,4
171349,5,4
171760,5,4
178111,5,4
182414,5,4
182591,5,4
191589,5,4
193456,5,4
218048,5,4
224777,5,4
229699,5,4
234889,5,4
238800,5,4
242776,5,4
248969,5,4
249503,5,4
253772,5,4
255016,5,4
260295,5,4
260813,5,4
260910,5,4
261682,5,4
267916,5,4
268799,5,4
271015,5,4
271519,5,4
272123,5,4
273060,5,4
273303,5,4
274825,5,4
275422,5,4
275430,5,4
275449,5,4
277322,5,4
277866,5,4
279402,5,4
284856,5,4
286190,5,4
287916,5,4
288232,5,4
288909,5,4
289232,5,4
291183,5,4
291462,5,4
291586,5,4
291990,5,4
292538,5,4
292564,5,4
292641,5,4
292650,5,4
293600,5,4
293858,5,4
293880,5,4
294193,5,4
294314,5,4
294560,5,4
296089,5,4
296440,5,4
296968,5,4
300127,5,4
301081,5,4
302585,5,4
302781,5,4
308635,5,4
310297,5,4
314554,5,4
315265,5,4
320162,5,4
320922,5,4
321420,5,4
322943,5,4
324068,5,4
324862,5,4
327618,5,4
328665,5,4
332032,5,4
333566,5,4
338952,5,4
340250,5,4
340935,5,4
343646,5,4
344968,5,4
348497,5,4
350508,5,4
360022,5,4
363480,5,4
375324,5,4
379252,5,4
380876,5,4
383686,5,4
384278,5,4
389865,5,4
393315,5,3
395797,5,4
396651,5,4
400205,5,4
400491,5,4
404395,5,4
409880,5,4
424720,5,4
431105,5,4
431116,5,4
431234,5,4
431843,5,4
440401,5,4
440804,5,4
441164,5,4
443900,5,3
448308,5,4
449716,5,4
451363,5,4
453114,5,4
454010,5,4
454029,5,4
454073,5,4
454129,5,4
