user_id,sum(streak_frozen),max(streak_length)
281395,33,2
296993,31,0
441659,30,0
453682,24,5
277065,20,1
409934,14,1
292611,13,22
338986,12,0
42236,11,7
184533,9,1
332400,9,1
160274,8,14
228262,7,6
234889,7,4
297106,7,11
294540,6,0
380721,6,18
191879,5,0
254372,5,13
288223,5,2
18378,4,6
35260,4,6
107278,4,0
289270,4,15
294387,4,0
316270,4,7
348946,4,6
357325,4,5
398107,4,6
419650,4,2
5790,3,15
7106,3,6
24184,3,0
147579,3,6
162406,3,18
243941,3,3
275422,3,4
294792,3,0
296103,3,6
299693,3,0
305504,3,4
312849,3,0
320922,3,4
333853,3,0
389942,3,10
392960,3,0
394140,3,3
410772,3,13
412431,3,0
425522,3,30
438715,3,10
454532,3,13
151404,2,16
178842,2,23
212463,2,9
226169,2,0
239043,2,0
255282,2,16
272013,2,0
283029,2,6
289005,2,5
289375,2,0
292033,2,6
292596,2,7
293294,2,0
297781,2,5
320002,2,2
336509,2,5
346860,2,0
355614,2,2
357142,2,15
360022,2,4
361294,2,1
374333,2,19
382668,2,10
393315,2,3
396741,2,7
407176,2,17
419038,2,2
441569,2,2
445129,2,0
454324,2,1
454557,2,9
458550,2,3
461551,2,2
241,1,1
4016,1,9
30273,1,6
157784,1,17
251329,1,23
268689,1,15
287473,1,2
291551,1,6
296203,1,2
297580,1,30
303504,1,30
318177,1,0
318257,1,2
326516,1,0
333166,1,4
342567,1,7
391161,1,8
392756,1,2
396651,1,4
396948,1,14
416166,1,2
419659,1,9
420093,1,13
423485,1,0
443900,1,3
1,NULL,0
5,NULL,0
6,NULL,0
19,NULL,0
28,NULL,0
31,NULL,2
39,NULL,0
209,NULL,0
519,NULL,2
566,NULL,0
659,NULL,0
838,NULL,2
841,NULL,2
862,NULL,0
875,NULL,0
908,NULL,1
939,NULL,2
1068,NULL,1
1102,NULL,0
1107,NULL,1
1156,NULL,0
1173,NULL,0
1200,NULL,30
1258,NULL,0
1271,NULL,0
1306,NULL,2
1374,NULL,4
1411,NULL,0
1482,NULL,1
1486,NULL,0
1500,NULL,1
1516,NULL,1
1521,NULL,2
1522,NULL,0
1530,NULL,1
1540,NULL,0
1546,NULL,0
1561,NULL,3
1562,NULL,3
1563,NULL,0
1567,NULL,0
1581,NULL,0
1619,NULL,0
1652,NULL,2
1659,NULL,0
1661,NULL,0
1713,NULL,1
1742,NULL,0
1791,NULL,0
1794,NULL,0
1901,NULL,6
1907,NULL,0
1923,NULL,0
1930,NULL,3
1956,NULL,0
1977,NULL,1
2055,NULL,0
2075,NULL,1
2159,NULL,0
2185,NULL,2
2188,NULL,0
2222,NULL,0
2248,NULL,4
2264,NULL,1
2270,NULL,0
2290,NULL,0
2295,NULL,1
2332,NULL,14
2397,NULL,1
2545,NULL,3
2555,NULL,2
2600,NULL,0
2617,NULL,0
2636,NULL,0
2688,NULL,0
2723,NULL,1
2811,NULL,0
2817,NULL,1
2824,NULL,3
2887,NULL,0
2921,NULL,1
2922,NULL,0
2984,NULL,0
2986,NULL,0
3059,NULL,1
3162,NULL,1
3297,NULL,0
3338,NULL,0
3402,NULL,0
3423,NULL,0
3577,NULL,2
3595,NULL,0
3599,NULL,2
3718,NULL,2
3751,NULL,0
3817,NULL,0
3938,NULL,12
3982,NULL,0
3984,NULL,4
4034,NULL,0
4054,NULL,2
4158,NULL,0
4162,NULL,0
4198,NULL,0
4231,NULL,4
4303,NULL,0
4320,NULL,3
4360,NULL,1
4392,NULL,0
4422,NULL,0
4435,NULL,4
4465,NULL,2
4515,NULL,0
4714,NULL,0
4751,NULL,0
4871,NULL,0
4933,NULL,1
5010,NULL,2
5076,NULL,0
5130,NULL,0
5143,NULL,1
5199,NULL,0
5221,NULL,0
5254,NULL,0
5348,NULL,0
5389,NULL,1
5583,NULL,0
5717,NULL,0
5729,NULL,0
5743,NULL,0
5785,NULL,0
5827,NULL,0
5836,NULL,0
5839,NULL,0
5993,NULL,0
6026,NULL,1
6051,NULL,0
6053,NULL,1
6090,NULL,0
6165,NULL,1
6252,NULL,1
6278,NULL,0
6359,NULL,2
6679,NULL,0
6808,NULL,0
6819,NULL,6
6890,NULL,0
6899,NULL,1
6930,NULL,0
6950,NULL,2
6958,NULL,2
6971,NULL,2
6976,NULL,4
6997,NULL,1
7031,NULL,0
7034,NULL,1
7175,NULL,0
7244,NULL,2
7417,NULL,0
7443,NULL,0
7488,NULL,0
7492,NULL,1
7502,NULL,1
